region,year,value
india,1980,142.0
india,1981,141.5
india,1982,146.8
india,1983,152.4
india,1984,147.5
india,1985,149.6
india,1986,158.9
india,1987,157.8
india,1988,154.9
india,1989,161.1
india,1990,159.1
india,1991,161.2
india,1992,166.2
india,1993,159.6
india,1994,162.5
india,1995,169.3
india,1996,169.5
india,1997,177.0
india,1998,174.2
india,1999,174.3
india,2000,187.9
india,2001,183.2
india,2002,186.5
india,2003,182.6
india,2004,188.2
india,2005,192.9
india,2006,184.7
india,2007,188.1
india,2008,181.5
india,2009,180.0
india,2010,176.1
india,2011,183.2
india,2012,173.0
india,2013,166.2
india,2014,171.0
india,2015,160.1
india,2016,163.1
india,2017,151.8
india,2018,151.6
india,2019,155.0
india,2020,154.5
india,2021,149.5
india,2022,145.6
india,2023,142.2
india,2024,134.8
india,2025,135.1
