region,year,value
india,1980,412.4
india,1981,426.5
india,1982,476.2
india,1983,528.1
india,1984,514.1
india,1985,544.1
india,1986,619.5
india,1987,629.2
india,1988,628.3
india,1989,683.6
india,1990,688.4
india,1991,718.4
india,1992,766.0
india,1993,742.2
india,1994,776.9
india,1995,835.9
india,1996,854.7
india,1997,917.9
india,1998,917.3
india,1999,934.7
india,2000,1036.6
india,2001,1024.4
india,2002,1061.7
india,2003,1054.4
india,2004,1106.4
india,2005,1152.8
india,2006,1151.2
india,2007,1219.4
india,2008,1225.0
india,2009,1262.7
india,2010,1285.0
india,2011,1376.3
india,2012,1359.7
india,2013,1363.6
india,2014,1440.6
india,2015,1419.5
india,2016,1445.2
india,2017,1381.0
india,2018,1386.8
india,2019,1414.9
india,2020,1418.5
india,2021,1394.3
india,2022,1377.1
india,2023,1362.5
india,2024,1323.0
india,2025,1332.0
