region,year,value
india,1980,168.4
india,1981,199.1
india,1982,211.1
india,1983,178.8
india,1984,274.9
india,1985,291.5
india,1986,299.4
india,1987,309.4
india,1988,278.5
india,1989,347.0
india,1990,375.9
india,1991,382.4
india,1992,440.3
india,1993,496.8
india,1994,596.7
india,1995,555.2
india,1996,597.0
india,1997,622.7
india,1998,583.1
india,1999,714.8
india,2000,768.4
india,2001,929.7
india,2002,867.0
india,2003,950.0
india,2004,999.9
india,2005,1018.4
india,2006,1196.8
india,2007,1258.7
india,2008,1345.5
india,2009,1359.9
india,2010,1561.2
india,2011,1539.0
india,2012,1739.7
india,2013,1930.8
india,2014,1914.9
india,2015,2070.0
india,2016,2245.4
india,2017,2373.9
india,2018,2493.1
india,2019,2743.9
india,2020,2883.3
india,2021,3155.9
india,2022,3310.9
india,2023,3654.7
india,2024,3798.6
india,2025,4085.5
