region,year,value
india,1980,2.24
india,1981,2.1
india,1982,2.14
india,1983,2.16
india,1984,1.98
india,1985,2.03
india,1986,2.0
india,1987,1.99
india,1988,1.86
india,1989,1.82
india,1990,1.88
india,1991,1.83
india,1992,1.79
india,1993,1.76
india,1994,1.68
india,1995,1.69
india,1996,1.65
india,1997,1.57
india,1998,1.66
india,1999,1.56
india,2000,1.44
india,2001,1.5
india,2002,1.38
india,2003,1.43
india,2004,1.42
india,2005,1.28
india,2006,1.34
india,2007,1.28
india,2008,1.26
india,2009,1.28
india,2010,1.14
india,2011,1.08
india,2012,1.04
india,2013,1.0
india,2014,1.01
india,2015,0.99
india,2016,0.95
india,2017,0.95
india,2018,0.87
india,2019,0.91
india,2020,0.79
india,2021,0.9
india,2022,0.76
india,2023,0.65
india,2024,0.61
india,2025,0.65
