region,year,value
india,1980,41.4
india,1981,43.9
india,1982,43.6
india,1983,41.7
india,1984,44.8
india,1985,44.5
india,1986,44.8
india,1987,46.9
india,1988,48.0
india,1989,48.5
india,1990,47.0
india,1991,48.2
india,1992,49.6
india,1993,51.0
india,1994,49.8
india,1995,50.8
india,1996,50.3
india,1997,50.8
india,1998,53.8
india,1999,55.0
india,2000,53.9
india,2001,55.8
india,2002,55.6
india,2003,55.0
india,2004,56.8
india,2005,58.8
india,2006,57.6
india,2007,60.1
india,2008,55.7
india,2009,60.4
india,2010,60.1
india,2011,60.2
india,2012,61.3
india,2013,59.4
india,2014,62.1
india,2015,63.4
india,2016,65.4
india,2017,63.6
india,2018,63.8
india,2019,64.8
india,2020,67.1
india,2021,67.0
india,2022,66.6
india,2023,68.4
india,2024,68.5
india,2025,70.2
